Risk Region,River,Site,Netica File
1.1,Ngotwane River,Ngotwane,Ngotwane_Update CPT_EcoE.neta
1.2,Marico River,Marico ,Marico_Update CPT_EcoE.neta
1.3,Crocodile River,CROC-A24J-ROOIB,2021-11-16 BN Limpopo CROC_Update CPT_EcoEnd.neta
2.1,Bonwapitse River,Bonwapitse ,Bonwapitse_Update CPT_EcoE.neta
2.2,Matlabas River,MATL-A41D-WDRAAI,MATL-A41D-WDRAAI_Update CPT_EcoE.neta
2.3,Mokolo River,Mokolo,Mokolo_Update CPT_EcoE.neta
2.4,Lephalala River,LEPH-A50H-SEEKO,LEPH-A50H-SEEKO_Update CPT-EcoE.neta
2.5,Lotsane River,Lotsane ,Lotsane_Update CPT_EcoE.neta
2.6,Mogalakwena River,MOGA-A36D-LIMPK,MOGA-A36D-LIMPK_Update CPT_EcoE.neta
2.7,Motloutse River,Motloutse ,Motloutse_Update CPT-EcoE.neta
2.8,Limpopo River,LIMP-A41D-SPANW,LIMP-A41D-SPANW_Update CPT_EcoE.neta
2.9,Limpopo River,LIMP-A36C-LIMPK,LIMP-A36C-LIMPK_Update CPT_EcoE.neta
3,Shashe River,SHAS-Y20B-TULIB,SHAS-Y20B-TULIB_1_Update CPT_EcoE.neta
4.1,Limpopo River,LIMP-A71L-MAPUN,LIMP-A71L-MAPUN_Update CPT_EcoE.neta
4.2,Umzingwani River,UMZI-Y20C-BEITB,UMZI-Y20C-BEITB_Update CPT_EcoE.neta
4.3,Sand River,SAND-A71K-R508B,SAND-A71K-R508B UPDATED CPTS FOR ECO ENDP.neta
4.4,Bubye River,Bubye ,Bubye_Update CPT_EcoE.neta
5,Luvuvhu River,LUVU-A91K-OUTPO,LUVU-A91K-OUTPO_Update CPT_EcoE.neta
6,Mwenedzi River,MWEN-Y20H-MALAP,MWEN-Y20H-MALAP_Update CPT_EcoE.neta
7.1,Upper Olifants River,Olifants,Olifants_Update CPT_EcoE.neta
7.2,Lower Olifants River,OLIF-B73H-BALUL,OLIF-B73H-BALUL_Update CPT_EcoE.neta
8.1,Groot Letaba River,GLET-B81J-LRANC,GLET-B81J-LRANC_Update CPT_EcoE.neta
8.2,Letaba River,LETA-B83A-LONEB,LETA-B83A-LONEB_Update CPT_EcoE.neta
9,Shingwedzi River,SHIN-B90H-POACH,SHIN-B90H-POACH_Update CPT_EcoE.neta
10.1,Limpopo River,LIMP-Y30D-PAFUR,LIMP-Y30D-PAFUR FIXED_Update CPT_EcoE.neta
10.2,Elephantes River,ELEP-Y30C-SINGU,ELEP-Y30C-SINGU_Update CPT_EcoE.neta
10.3,Limpopo River,LIMP-Y30F-CHOKW,LIMP-Y30F-CHOKW_Update CPT_EcoE.neta
